Query_Name	Query
Dis_NIH	AND ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Dis_Priv	AND ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mech_NIH	AND ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mech_Priv	AND ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Bio_NIH	AND ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Bio_Priv	AND ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Chem_NIH	AND ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Chem_Priv	AND ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Phys_NIH	AND ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) NOT ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Phys_Priv	AND ("Physics"[Mesh] OR "Physical Phenomena"[Mesh]) NOT ("Chemicals and Drugs Category"[Mesh] OR "Chemistry"[Mesh] OR "Pharmacological Actions Category"[Mesh] OR "Chemical Phenomena"[Mesh]) NOT ("Anatomy Category"[Mesh] OR "Biological Science Disciplines"[Mesh] OR "Organisms Category"[Mesh] OR "Phenomena and Processes Category"[Mesh]) NOT ("Bacterial Infections and Mycoses"[Mesh] OR "Chemically-Induced Disorders"[Mesh] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh] OR "Disorders of Environmental Origin"[Mesh] OR "Nutritional and Metabolic Diseases"[Mesh] OR "Occupational Diseases"[Mesh] OR "Parasitic Diseases"[Mesh] OR "Pathological Conditions, Signs and Symptoms"[Mesh] OR "Virus Diseases"[Mesh] OR "Wounds and Injuries"[Mesh]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
